row_id,Species3,Family3,Order3,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
5973,Neopelma aurifrons,Pipridae,Passeriformes,1,0,0,1,1,12.7,8.3,4.2,4.3,15.7,71,15.1,55.9,21.3,50,14,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-22.48,-12.37,-16.48,-40.66937105,5071.66,Extant
6004,Pitta dohertyi,Pittidae,Passeriformes,1,0,0,1,1,23.6,14.5,6.3,7,37.9,94,20.1,73.9,21.4,44,72.39,Inferred,NA,YES,Body Mass,Pitta erythrogaster,Forest,1,1,Carnivore,Invertivore,Terrestrial,-2.49,-1.18,-1.72,124.4779584,5433.95,Extant
6034,Batis ituriensis,Platysteiridae,Passeriformes,2,0,2,0,2,12.4,6.6,4.5,3.4,13.2,49.5,4.8,44.6,9.8,33.2,10.66,EltonTraits_GenAvg,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,-3.56,3.69,1.5,27.96127502,267495.16,Extant
6090,Malimbus ballmanni,Ploceidae,Passeriformes,1,0,1,0,1,23.8,12,5.7,8.4,20.7,85,12.5,72.5,14.7,58,63,EltonTraits_Model,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,5.11,8.34,6.47,-8.818166989,29246.74,Extant
6102,Ploceus angolensis,Ploceidae,Passeriformes,1,0,0,1,1,17.6,11.1,4.5,5.9,17.1,80,22.1,57.9,27.6,44,26.64,EltonTraits_GenAvg,NA,NO,NA,NA,Woodland,2,1,Carnivore,Invertivore,Insessorial,-15.51,-9.56,-12.66,24.34435038,260942.79,Extant
6104,Ploceus aureonucha,Ploceidae,Passeriformes,1,0,1,0,1,19.1,12.2,5.6,6.2,18.7,79,17,62,21.5,46,26.64,EltonTraits_GenAvg,NA,NO,NA,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,0.53,1.54,1.06,29.32272336,16614.79,Extant
6119,Ploceus dorsomaculatus,Ploceidae,Passeriformes,2,1,1,0,2,18.6,11.2,5.7,6.9,19.9,80,18.1,61.8,22.7,49.5,26.64,EltonTraits_GenAvg,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,-4.02,4.58,1.64,18.49993382,334876.31,Extant
6120,Ploceus flavipes,Ploceidae,Passeriformes,1,1,0,0,1,18,10.8,5.6,6.3,18.8,77,15.2,61.8,19.7,42.5,46.31,EltonTraits_GenAvg,NA,NO,NA,NA,NA,1,1,Carnivore,Invertivore,Insessorial,0.5,1.55,1.09,28.84050938,18694.16,Extant
6132,Ploceus megarhynchus,Ploceidae,Passeriformes,2,0,1,1,2,22.1,15.2,7.3,10.8,24.1,77,16.5,60.5,21.4,57.5,34.31,Dunning,NA,NO,NA,NA,Grassland,3,1,Herbivore,Granivore,Insessorial,21.75,30.13,27.69,85.3622461,67070.41,Extant
6139,Ploceus nigrimentus,Ploceidae,Passeriformes,1,1,0,0,1,21,12.6,5.8,8.5,26.9,87,16.5,70.5,19,66.5,26.64,EltonTraits_GenAvg,NA,NO,NA,NA,Shrubland,3,1,Omnivore,Omnivore,Insessorial,-14.29,-1.01,-6.18,15.23967907,84398.22,Extant
